log_tag_num,tag_size,buildT (s),transfer_bytes (B)
6,32,1.91202e-05,130
6,64,1.08598e-05,194
6,256,1.34374e-05,578
6,1024,3.31702e-05,2114
6,4096,0.000117846,8258
8,32,2.10521e-05,166
8,64,2.68631e-05,230
8,256,3.52818e-05,614
8,1024,0.000117691,2150
8,4096,0.000445242,8294
10,32,6.47954e-05,238
10,64,8.82867e-05,302
10,256,0.000120338,686
10,1024,0.000452178,2222
10,4096,0.00173241,8366
12,32,0.000236823,310
12,64,0.000307733,374
12,256,0.000442487,758
12,1024,0.00174847,2294
12,4096,0.00745694,8438
14,32,0.000966371,382
14,64,0.00122649,446
14,256,0.00175795,830
14,1024,0.00906454,2366
14,4096,0.0305274,8510
16,32,0.00475962,454
16,64,0.00657544,518
16,256,0.0073162,902
16,1024,0.0362445,2438
16,4096,0.12437,8582
18,32,0.0233219,526
18,64,0.0316093,590
18,256,0.0292102,974
18,1024,0.145179,2510
18,4096,0.493229,8654
20,32,0.0984373,598
20,64,0.126359,662
20,256,0.118013,1046
20,1024,0.57274,2582
20,4096,1.97057,8726
